XML Node Name,ClickForms Cell #,ClickForms Page #,Cell Type,
GC2_EE_EFFIC1_ADJ,151,1,,
GC2_CR_GARPRK1,152,1,,
GC2_CR_GARPRK1_ADJ,153,1,,
GC2_PF_PORPAT1,154,1,,
GC2_PF_PORPAT1_ADJ,155,1,,
GC2_EE_FPWDSTV,156,1,,
GC2_EE_FPWDSTV_ADJ,157,1,,
GC2_PF_FENCPL,158,1,,
GC2_PF_FENCPL_ADJ,159,1,,
GC2_BL_BLANK1,160,1,,
GC2_BL_BLANK1_ADJ,161,1,,
GC2_CHECKPOS_ADJ,162,1,,
GC2_CHECKNEG_ADJ,163,1,,
GC2_NETADJ_ADJ,164,1,,
GC2_NET_TEXT1,,,,
GC2_NETADJPCT_ADJ,,,,
GC2_NET_TEXT2,,,,
GC2_GRS_TEXT1,,,,
GC2_GRSADJPCT_ADJ,,,,
GC2_GRS_TEXT2,,,,
GC2_BL_BLANK2,,,,
GC2_ADJSALEPRC_ADJ,165,1,,
GC2_HS_PRIOR1,236,1,,
GC2_HS_PRIOR2,237,1,,
GC2_HS_PRIOR3,238,1,,
GC3_AD_ADDR1,167,1,,
GC3_AD_ADDR2,168,1,,
GC3_PROX1,169,1,,
GC3_PR_SALEPR1,170,1,,
GC3_PU_PERGLA,171,1,,
GC3_SC_SOURCE1,172,1,,
GC3_SC_SOURCE2,173,1,,
GC3_FN_CONC1,174,1,,
GC3_FN_CONC1_ADJ,175,1,,
GC3_FN_CONC2,176,1,,
GC3_FN_CONC2_ADJ,177,1,,
GC3_DT_SALTIM1,178,1,,
GC3_DT_SALTIM1_ADJ,179,1,,
GC3_LC_LOCAT1,180,1,,
GC3_LC_LOCAT1_ADJ,181,1,,
GC3_RG_RIGHTS,182,1,,
GC3_RG_RIGHTS_ADJ,183,1,,
GC3_ST_SITSIZE,184,1,,
GC3_ST_SITSIZE_ADJ,185,1,,
GC3_ST_SITEVW,186,1,,
GC3_ST_SITEVW_ADJ,187,1,,
GC3_DA_DESAPL1,188,1,,
GC3_DA_DESAPL1_ADJ,189,1,,
GC3_DA_CONSTQL,190,1,,
GC3_DA_CONSTQL_ADJ,191,1,,
FLD93,,,,
FLD94,,,,
FLD95,,,,
FLD96,,,,
FLD97,,,,
FLD98,,,,
FLD99,,,,
FLD100,,,,
FLD101,,,,
FLD102,,,,
FLD103,,,,
FLD104,,,,
FLD105,,,,
FLD106,,,,
FLD107,,,,
FLD108,,,,
FLD109,,,,
FLD110,,,,
GC3_AG_AGYRBLT,192,1,,
GC3_AG_AGYRBLT_ADJ,193,1
GC3_AG_COND1,194,1
GC3_AG_COND1_ADJ,195,1
GC3_RM_BED_ADJ,196,1
GC3_RM_TOTAL,197,1
GC3_RM_BED,198,1
GC3_RM_BATH,199,1
GC3_RM_TOTAL_ADJ,200,1
GC3_SF_GLA,201,1
GC3_PU_PERSF,,
GC3_SF_GLA_ADJ,202,1
GC3_BM_BSM1,203,1
GC3_BM_BSM1_ADJ,204,1
GC3_BM_BSM2,205,1
GC3_BM_BSM2_ADJ,206,1
GC3_FU_FUNCTUT,207,1
GC3_FU_FUNCTUT_ADJ,208,1
GC3_HC_HTCOOL,209,1
GC3_HC_HTCOOL_ADJ,210,1
GC3_EE_EFFIC1,211,1
GC3_EE_EFFIC1_ADJ,212,1
GC3_CR_GARPRK1,213,1
GC3_CR_GARPRK1_ADJ,214,1
GC3_PF_PORPAT1,215,1
GC3_PF_PORPAT1_ADJ,216,1
GC3_EE_FPWDSTV,217,1
GC3_EE_FPWDSTV_ADJ,218,1
GC3_PF_FENCPL,219,1
GC3_PF_FENCPL_ADJ,220,1
GC3_BL_BLANK1,221,1
GC3_BL_BLANK1_ADJ,222,1
GC3_CHECKPOS_ADJ,223,1
GC3_CHECKNEG_ADJ,224,1,,
GC3_NETADJ_ADJ,225,1,,
GC3_NET_TEXT1,,,,
GC3_NETADJPCT_ADJ,,,,
GC3_NET_TEXT2,,,,
GC3_GRS_TEXT1,,,,
GC3_GRSADJPCT_ADJ,,,,
GC3_GRS_TEXT2,,,,
GC3_BL_BLANK2,,,,
GC3_ADJSALEPRC_ADJ,226,1,,
GC3_HS_PRIOR1,240,1,,
GC3_HS_PRIOR2,241,1,,
GC3_HS_PRIOR3,242,1,,
FLD988,227,1,,
FLD989,,,,
FLD990,,,,
FLD991
FLD992
FLD993
FLD994
FLD995
FLD996
FLD997
FLD998
FLD999
FLD1000
FLD1001
FLD1002
FLD1003
FLD1004
FLD1005
FLD1006
FLD1007
FLD1008
FLD1009
FLD1010
FLD1011
FLD1012
FLD1013
FLD1014
FLD1015
FLD1016
FLD1017
FLD1018
FLD1019
FLD293
SUBLENCLIENT
SUBAPPRAISER
FLD296
FILE_INFO_FEE
RECESTMKTVALUE
GC1-POUND-
GC2-POUND-
GC3-POUND-
