-99,CellType,OrigCell,NewCell,PageNum
0,2,1,3,18
0,2,2,6,18
0,2,3,7,18
0,2,4,8,18
0,2,5,9,18
0,2,6,10,18
0,2,7,11,18
0,2,8,12,18
0,2,9,13,18
0,2,10,14,18
0,2,11,16,18
0,2,12,17,18
0,2,13,18,18
0,2,14,19,18
0,2,15,20,18
0,2,16,21,18
0,2,17,22,18
0,2,18,23,18
0,2,19,24,18
0,2,20,25,18
0,2,21,26,18
0,2,22,27,18
0,2,23,28,18
0,2,24,29,18
0,2,25,30,18
0,2,26,31,18
0,2,27,32,18
0,2,28,34,18
0,2,29,35,18
0,2,30,36,18
0,2,31,37,18
0,2,32,38,18
0,2,33,39,18
0,2,34,40,18
0,2,35,41,18
0,2,36,42,18
0,2,37,43,18
0,2,38,44,18
0,2,39,45,18
0,2,40,46,18
0,2,41,47,18
0,2,42,49,18
0,2,43,50,18
0,2,44,51,18
0,2,45,52,18
0,2,46,53,18
0,2,47,54,18
0,2,48,55,18
0,2,49,56,18
0,2,50,57,18
0,2,51,58,18
0,2,52,59,18
0,2,53,60,18
0,2,54,61,18
0,2,55,62,18
0,2,56,63,18
0,2,57,1,18
