8|0
2|0
3|0
4|0
46|46
46|2141
46|47
46|48
46|49
50|0
60|0
367|0
368|0
59|0
0|0
0|0
598|0
599|0
595|0
369|0
375|0
390|0
2042|0
2043|0
45|0
58|0
51|0
52|0
53|0
35|0
34|0
37|0
31|0
364|0
2059|0
2060|0
2061|0
2062|0
54|0
55|0
2040|0
2041|0
2063|0
2064|0
2065|2065-10-0
2065|2065-10-0
2065|2065-2
2065|4408
2065|4408
2065|2065-8
2065|2065-7
0|0
2065|2065-1
2065|2065-0
0|0
2065|2065-9-0
2065|2065-9-0
0|0
2065|2065-9-1
2065|2065-9-1
2065|2065
2054|0
2055|0
2056|4409
2056|2056
2052|0
2053|0
2050|0
2051|0
2083|0
2048|0
2049|0
2057|4410
2057|4411
2057|2057
66|
67|67
0|0
0|0
88|0
90|4412
90|4413
90|4413
90|4414
90|4414
962|4419
962|4420
962|4420
962|4421
962|4421
68|0
73|0
69|0
70|0
72|0
71|0
2215|0
63|0
64|0
65|0
75|0
2104|0
76|0
77|0
2105|0
78|0
79|0
2106|0
80|0
81|0
2107|0
82|0
111|0
112|0
113|0
133|0
134|0
135|0
472|0
473|0
474|0
469|0
470|0
471|0
2069|0
2103|0
160|0
159|0
161|0
157|0
2101|0
2102|0
151|4415
151|151
996|996
499|0
149|0
148|0
229|229
229|230
229|231
229|231
1004|0
187|0
189|0
191|0
2018|0
1006|4519
1006|4519
1006|4519
1006|4426
1006|0
1006|4427
193|0
1006|4428
1006|4429
1006|4430
1006|4430
1006|4520
311|0
315|0
317|0
312|0
314|0
316|0
1203|0
299|0
300|0
304|0
303|0
307|0
308|0
2084|0
309|0
321|0
322|0
2027|0
2028|0
332|0
333|0
339|0
340|0
336|0
337|0
334|0
335|0
342|0
344|0
2021|0
2022|0
2023|0
2024|0
2026|0
288|0
2658|0
2025|0
2644|0
293|0
346|0
359|0
360|0
92|0
349|0
2030|0
2657|0
355|0
2070|0
2071|0
2072|0
520|4401
197|0
2019|0
2020|0
520|4404
520|4406
520|4405
520|4407
520|4400
994|4517
520|520
253|0
260|0
251|0
267|0
274|0
173|0
174|0
175|0
176|0
181|0
184|0
183|0
593|0
2034|0
2035|0
2036|0
504|0
505|0
506|0
